wpm,eye_contact_percentage,filler_word_count,grade
159,63.33,19,C
50,45.03,29,D
100,53.11,9,C
53,74.57,4,D
162,82.59,17,C
81,69.66,20,D
83,92.41,25,D
141,82.03,14,C
144,56.19,19,C
121,67.14,7,B
88,92.63,16,C
167,61.92,30,D
52,82.48,11,D
172,68.88,20,D
99,55.19,29,D
61,24.18,29,D
103,42.6,26,D
182,96.77,11,D
106,65.78,25,D
194,56.44,0,D
161,93.3,25,D
96,58.65,25,D
200,52.61,3,D
134,75.93,7,B
191,71.27,0,D
115,19.32,26,D
124,47.13,14,C
152,47.25,17,C
87,37.82,0,D
99,51.73,10,C
147,41.31,22,D
131,19.93,1,D
79,41.24,0,C
128,7.23,30,D
140,57.58,11,C
101,85.37,15,C
128,72.53,21,D
79,36.04,21,D
155,8.71,9,D
100,20.21,17,D
130,54.55,14,C
182,20.71,16,D
78,54.4,29,D
181,23.16,9,D
187,84.89,2,D
194,39.73,25,D
123,24.56,29,D
66,81.23,20,D
133,34.28,15,D
118,11.15,5,D
83,57.04,2,C
55,58.16,8,D
102,71.47,10,B
175,24.02,20,D
92,44.38,12,C
164,28.24,17,D
160,8.1,25,D
200,87.66,21,D
129,72.89,27,D
144,30.15,23,D
167,59.94,26,D
193,20.13,21,D
57,89.02,3,D
181,11.49,21,D
153,0.38,23,D
181,50.2,7,D
74,58.31,12,C
145,57.9,9,C
142,5.45,1,D
110,31.4,7,D
171,49.92,5,D
100,21.66,15,D
196,87.26,17,D
70,8.71,16,D
54,48.74,5,D
141,69.14,12,C
110,26.18,22,D
71,62.42,13,C
198,82.94,29,D
119,19.03,25,D
50,91.72,20,D
182,55.36,29,D
61,29.92,9,D
139,43.09,23,D
95,31.22,10,D
83,72.51,12,C
127,79.63,11,B
94,83.29,8,B
122,98.58,3,A
75,79.13,6,C
96,60.14,23,D
170,33.92,28,D
105,54.46,21,D
143,4.11,1,D
156,74.48,6,B
112,44.6,28,D
97,2.0,8,D
110,6.25,4,D
130,38.75,14,D
75,58.34,17,C
85,46.42,3,C
50,61.92,18,D
57,48.03,19,D
162,66.17,25,D
148,21.91,6,D
96,11.28,25,D
176,59.64,7,D
105,48.47,16,C
63,2.69,12,D
77,38.05,23,D
127,10.61,20,D
179,53.14,27,D
158,39.58,22,D
63,61.32,10,D
105,80.56,26,D
164,29.97,0,D
56,96.21,1,D
52,53.56,16,D
160,61.83,4,B
200,68.07,29,D
156,66.67,29,D
67,51.1,5,D
87,42.88,25,D
164,5.38,24,D
64,2.21,23,D
168,35.8,6,D
77,33.37,27,D
88,38.77,20,D
66,13.84,29,D
135,73.82,14,C
175,85.7,18,D
93,93.87,15,C
74,49.24,24,D
194,70.09,12,D
62,85.56,4,D
74,41.83,2,C
117,30.94,2,D
187,93.67,18,D
116,51.57,13,C
158,49.73,15,C
195,17.84,21,D
160,10.82,16,D
160,84.21,26,D
83,61.41,3,C
160,32.58,12,D
57,19.17,7,D
162,55.55,18,C
132,58.39,4,C
91,20.7,1,D
150,85.14,14,C
55,8.43,1,D
75,35.61,10,D
113,68.04,12,C
108,27.41,22,D
158,82.77,9,B
170,73.99,2,C
82,78.9,4,C
199,11.91,2,D
70,14.05,5,D
119,28.65,12,D
161,51.81,9,C
53,74.8,18,D
143,83.65,7,B
124,70.43,17,C
111,92.86,2,A
143,73.87,23,D
144,30.63,23,D
104,26.51,16,D
186,69.62,7,D
180,19.29,9,D
80,9.27,1,D
89,53.22,11,C
85,82.16,22,D
55,10.14,5,D
115,79.19,1,B
124,81.16,20,D
53,48.23,22,D
128,5.73,23,D
183,17.46,2,D
167,70.74,16,C
162,71.18,28,D
143,89.84,6,B
111,58.27,28,D
128,12.41,20,D
185,12.14,4,D
75,72.11,22,D
93,18.38,0,D
182,32.84,7,D
119,48.72,11,C
167,2.48,13,D
117,24.88,15,D
68,40.79,9,D
69,27.96,14,D
162,13.64,20,D
189,72.8,23,D
96,81.31,25,D
50,25.75,14,D
139,77.44,9,B
191,38.56,20,D
113,50.67,27,D
87,85.6,6,C
86,75.0,25,D
175,80.51,2,D
188,13.68,1,D
149,6.97,5,D
126,89.34,20,D
52,38.78,8,D
183,28.79,9,D
59,72.47,3,D
54,83.64,26,D
200,86.25,2,D
187,31.6,8,D
179,85.22,23,D
62,4.09,21,D
179,4.97,16,D
133,62.35,13,C
114,6.31,9,D
112,32.46,12,D
150,67.28,11,B
122,33.73,26,D
66,17.96,0,D
58,28.14,27,D
192,45.76,21,D
87,47.54,28,D
143,78.3,18,C
144,75.02,18,C
98,45.68,5,C
118,84.57,12,C
111,11.42,18,D
127,25.54,12,D
166,82.8,26,D
169,37.8,25,D
186,98.12,21,D
125,46.63,20,D
84,79.19,3,C
50,40.23,23,D
89,42.5,1,C
113,38.29,14,D
199,71.91,11,D
109,54.75,29,D
113,94.38,26,D
142,25.09,6,D
121,10.06,19,D
60,39.33,17,D
154,61.67,30,D
63,86.08,22,D
109,34.62,12,D
79,65.38,16,C
84,35.02,3,D
54,61.72,24,D
132,88.48,13,C
172,23.14,19,D
127,40.42,27,D
111,99.33,12,C
181,86.86,2,D
138,56.46,25,D
91,51.66,25,D
138,28.46,17,D
195,51.72,13,D
89,84.82,14,C
121,68.52,2,B
88,29.0,0,D
153,20.15,25,D
63,26.52,23,D
81,16.98,16,D
174,9.56,2,D
146,41.91,13,C
72,11.33,2,D
112,17.19,12,D
192,54.73,14,D
194,16.46,17,D
102,6.39,13,D
153,31.74,20,D
153,22.03,25,D
88,51.53,2,C
183,10.24,18,D
116,75.18,7,B
184,90.62,3,D
91,74.34,3,B
64,53.28,18,D
160,86.07,10,B
82,69.49,0,C
87,1.06,7,D
146,39.41,14,D
82,85.1,0,C
135,34.59,6,D
115,3.52,20,D
59,74.62,19,D
54,80.2,19,D
172,16.06,23,D
123,53.73,10,C
146,19.2,26,D
167,71.92,28,D
87,27.16,13,D
190,31.62,21,D
96,84.5,15,C
158,47.63,13,C
64,66.98,11,D
185,40.24,16,D
54,29.8,13,D
96,62.55,9,B
117,15.49,23,D
125,37.3,28,D
179,20.9,13,D
144,69.58,17,C
164,94.42,21,D
85,99.55,8,C
75,45.03,16,C
92,25.25,5,D
76,44.28,7,C
118,84.73,25,D
197,20.6,12,D
60,95.21,17,D
123,34.19,4,D
153,98.58,5,B
87,83.86,20,D
183,80.86,18,D
72,31.79,3,D
96,0.88,6,D
139,38.21,3,D
95,30.18,24,D
156,3.74,10,D
189,50.54,11,D
190,40.3,13,D
153,63.46,12,C
160,62.12,28,D
153,12.07,9,D
109,97.7,17,C
149,18.69,15,D
117,44.53,4,C
182,48.81,7,D
169,81.31,13,C
86,9.92,4,D
121,42.86,25,D
176,62.85,27,D
155,21.52,23,D
141,62.75,7,B
80,92.37,24,D
171,99.75,25,D
186,3.25,5,D
100,23.56,15,D
78,31.03,27,D
89,39.91,3,D
90,24.23,11,D
60,20.35,10,D
200,95.46,2,D
50,91.85,30,D
95,4.7,11,D
150,33.88,29,D
198,40.51,4,D
139,23.9,5,D
159,62.89,18,C
106,64.04,17,C
50,85.05,15,D
112,74.09,22,D
104,54.26,10,C
164,65.36,4,C
192,27.4,8,D
198,59.31,30,D
102,48.92,2,C
186,13.33,29,D
106,24.25,30,D
166,29.17,7,D
84,92.43,5,C
112,23.04,3,D
74,28.92,11,D
139,36.94,11,D
124,66.37,30,D
87,11.82,24,D
179,95.39,20,D
184,86.56,15,D
140,57.72,30,D
66,67.4,9,D
177,1.67,21,D
157,33.89,13,D
74,79.57,30,D
137,7.75,30,D
78,28.23,12,D
112,58.53,8,C
199,25.64,6,D
163,93.4,11,C
98,13.11,4,D
130,79.74,17,C
133,50.79,3,C
154,75.03,1,B
197,31.07,2,D
167,51.45,25,D
135,85.68,11,B
112,46.69,2,C
153,35.97,3,D
98,53.62,5,C
120,71.74,11,B
50,44.36,18,D
190,93.89,9,D
172,29.49,29,D
111,47.55,0,C
81,75.69,16,C
78,68.91,15,C
98,86.36,8,B
79,99.68,24,D
193,42.69,20,D
68,11.12,8,D
67,3.04,26,D
50,72.69,22,D
127,87.4,8,B
164,22.07,11,D
162,15.84,22,D
163,6.22,8,D
112,82.27,14,C
181,31.14,1,D
178,40.17,10,D
57,50.28,10,D
104,83.95,7,B
152,65.08,22,D
180,61.51,5,D
81,17.57,20,D
59,51.32,19,D
159,71.54,6,B
173,97.33,2,D
136,20.14,7,D
104,0.95,17,D
81,7.53,16,D
184,37.59,10,D
142,82.05,1,A
57,0.71,24,D
114,45.67,20,D
106,32.92,26,D
116,5.25,23,D
121,45.02,18,C
103,25.47,6,D
116,35.19,30,D
100,70.56,17,C
146,52.16,7,C
141,12.46,13,D
57,96.14,6,D
84,63.59,27,D
145,76.59,20,D
137,7.92,27,D
127,4.71,26,D
81,1.94,3,D
169,18.88,16,D
95,41.44,4,C
193,93.58,11,D
191,45.71,8,D
104,29.03,25,D
56,56.19,19,D
123,11.19,12,D
56,60.95,24,D
200,56.84,27,D
134,79.2,17,C
196,98.67,19,D
161,25.09,8,D
174,50.97,3,D
196,90.89,20,D
85,78.52,26,D
78,48.74,7,C
131,94.54,0,A
51,5.72,16,D
178,93.1,24,D
96,5.05,8,D
197,54.73,19,D
60,89.04,12,D
179,26.27,1,D
168,47.22,12,C
189,32.43,8,D
69,95.21,29,D
54,82.36,19,D
86,70.9,5,C
186,58.76,27,D
102,82.06,0,B
148,39.23,27,D
135,44.76,24,D
157,73.0,4,B
73,35.78,30,D
130,6.39,2,D
169,7.43,3,D
108,11.54,0,D
177,86.97,13,D
163,47.22,8,C
164,71.29,29,D
63,39.29,23,D
58,25.87,3,D
89,34.72,17,D
74,79.42,13,C
152,62.52,24,D
71,93.76,3,C
53,67.97,24,D
78,57.02,9,C
158,61.02,2,B
147,94.24,22,D
86,78.82,6,C
124,2.4,9,D
119,53.41,12,C
195,68.83,3,D
177,74.87,17,D
134,21.31,10,D
91,86.72,24,D
149,95.58,3,A
90,23.67,23,D
83,88.26,13,C
66,9.7,17,D
171,5.57,7,D
125,12.92,26,D
136,5.77,9,D
166,84.5,4,C
155,5.91,22,D
135,27.17,6,D
76,10.38,11,D
106,29.54,24,D
80,9.06,2,D
183,66.8,25,D
147,13.33,3,D
61,85.18,9,D
102,81.72,3,B
187,1.37,14,D
194,89.57,28,D
171,2.89,9,D
95,23.96,20,D
113,3.24,29,D
179,33.58,21,D
103,51.39,15,C
156,79.66,14,C
100,33.8,18,D
85,70.55,28,D
164,18.75,19,D
75,75.06,18,C
78,23.6,17,D
198,14.35,25,D
60,18.54,11,D
89,18.21,24,D
60,51.29,15,D
162,84.48,0,C
88,7.96,15,D
103,70.7,1,B
147,65.43,23,D
104,87.25,14,C
160,24.41,6,D
199,45.01,27,D
118,92.58,0,A
105,66.0,4,B
82,38.88,9,D
85,13.14,21,D
197,26.25,20,D
130,58.12,3,C
158,71.82,13,C
122,12.44,12,D
89,59.96,0,C
66,55.04,15,D
178,51.4,22,D
110,69.01,8,B
153,83.74,21,D
91,32.3,15,D
74,88.9,18,C
88,16.06,14,D
84,17.3,25,D
180,26.68,13,D
157,11.95,19,D
151,23.03,9,D
147,10.64,20,D
61,82.18,30,D
68,13.9,11,D
150,74.73,27,D
93,4.79,0,D
98,94.85,20,D
66,71.12,16,D
123,0.68,8,D
106,76.39,22,D
104,51.41,18,C
96,77.94,24,D
61,52.25,17,D
111,64.1,27,D
129,78.63,6,B
132,40.51,8,C
57,0.27,21,D
198,84.99,25,D
130,38.09,20,D
167,49.6,11,C
74,0.78,6,D
138,49.21,13,C
61,98.65,14,D
192,27.83,14,D
108,39.54,5,D
158,68.72,20,D
75,81.48,13,C
96,41.74,1,C
81,30.97,7,D
59,93.78,30,D
65,67.71,12,D
194,11.9,22,D
200,6.89,5,D
75,48.35,4,C
135,22.01,4,D
184,25.4,24,D
63,87.77,0,D
128,8.96,8,D
166,71.54,5,C
56,27.11,19,D
186,76.03,25,D
164,72.24,29,D
121,0.74,6,D
108,50.91,8,C
131,13.93,4,D
165,86.62,13,C
195,87.16,4,D
152,41.83,7,C
66,44.44,6,D
63,30.33,12,D
157,71.66,12,C
94,35.87,7,D
147,26.78,10,D
180,43.22,27,D
86,9.15,25,D
157,74.66,17,C
88,1.26,24,D
64,64.45,18,D
169,18.29,5,D
53,23.24,21,D
142,63.56,1,B
190,99.29,27,D
65,77.77,12,D
157,22.58,22,D
175,17.6,24,D
104,86.62,27,D
83,44.42,25,D
62,13.71,10,D
190,86.22,0,D
67,81.61,23,D
145,98.39,1,A
172,90.97,29,D
88,85.18,16,C
95,5.26,7,D
78,10.44,1,D
111,56.9,5,C
65,53.15,30,D
170,45.8,21,D
59,39.68,4,D
152,43.12,15,C
133,56.93,7,C
182,0.21,18,D
114,26.07,15,D
52,51.83,12,D
191,72.22,25,D
169,17.42,30,D
117,54.69,19,C
195,71.45,6,D
86,44.46,30,D
122,2.71,15,D
192,44.93,22,D
98,29.64,15,D
170,92.96,28,D
137,12.46,11,D
189,65.25,13,D
86,5.27,23,D
110,44.62,17,C
173,55.4,26,D
88,29.8,27,D
112,45.51,17,C
95,16.36,15,D
137,30.41,19,D
60,62.11,15,D
111,30.18,12,D
126,89.97,25,D
101,62.84,28,D
53,43.86,8,D
108,3.88,25,D
121,49.95,27,D
197,76.48,8,D
142,26.56,12,D
112,80.68,28,D
103,25.18,3,D
166,82.37,8,C
159,8.53,14,D
123,86.62,13,C
156,49.92,18,C
106,29.65,11,D
52,26.51,20,D
169,43.2,25,D
55,99.9,24,D
54,22.03,5,D
54,10.32,2,D
103,58.5,25,D
96,48.85,24,D
58,52.42,21,D
148,66.69,19,C
69,26.71,15,D
171,91.07,29,D
110,43.57,19,C
172,12.91,23,D
131,74.23,22,D
111,64.31,16,C
194,31.57,15,D
52,62.15,5,D
62,21.99,7,D
169,44.48,18,C
174,89.94,29,D
138,13.35,24,D
122,38.67,25,D
117,82.11,1,A
191,96.95,13,D
150,45.39,21,D
147,50.7,11,C
60,57.22,16,D
154,93.23,27,D
116,85.82,26,D
172,17.06,14,D
78,43.68,17,C
186,46.4,15,D
125,78.91,12,C
58,60.29,20,D
89,65.42,16,C
74,99.82,7,C
54,7.5,0,D
188,22.3,28,D
173,40.79,24,D
87,34.78,25,D
121,2.16,26,D
182,9.18,2,D
139,68.1,15,C
195,87.93,27,D
86,51.42,1,C
109,53.92,14,C
77,25.51,0,D
130,76.79,8,B
163,75.18,15,C
89,58.84,30,D
94,21.27,3,D
111,9.7,11,D
142,6.42,0,D
164,59.27,0,C
116,82.5,6,B
105,85.83,17,C
89,46.36,22,D
147,78.43,27,D
89,94.69,30,D
140,27.52,22,D
82,39.8,14,D
55,93.15,25,D
196,33.82,29,D
129,91.39,24,D
141,98.1,12,C
146,66.18,15,C
108,81.69,6,B
108,74.95,15,C
97,69.95,12,C
62,30.69,13,D
156,5.71,16,D
94,34.31,11,D
138,66.69,28,D
149,10.25,23,D
56,1.19,23,D
182,13.97,19,D
94,71.57,12,C
107,97.28,23,D
80,98.31,19,C
72,49.4,14,C
187,86.94,23,D
156,73.68,20,D
88,50.1,3,C
131,57.28,21,D
149,13.72,1,D
51,93.77,27,D
126,35.19,17,D
61,44.61,1,D
88,67.17,24,D
62,33.39,14,D
95,25.43,29,D
162,63.1,25,D
66,2.5,18,D
153,72.07,14,C
147,51.4,25,D
137,60.58,19,C
158,63.19,9,B
119,52.71,27,D
123,58.25,23,D
112,68.38,19,C
109,75.31,10,B
128,72.75,25,D
86,86.96,9,C
71,18.94,28,D
197,40.11,22,D
145,94.78,4,A
117,39.66,8,D
